Name,SMILES,Binary_efficiency,Lipid_ratio,Chol_ratio,Helper_ratio,PEG-ratio
adfm200900519-ND110,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0,100,0,0,0
adfm200900519-ND111,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0,100,0,0,0
adfm200900519-ND112,CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0,100,0,0,0
adfm200900519-ND114,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0,100,0,0,0
adfm200900519-ND115,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0,100,0,0,0
adfm200900519-ND116,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)[C@@H]1CCCC[C@H]1N(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0,100,0,0,0
adhm201400039-1O14B,CN(C)CCCN(CCC(OCCSSCCCCCCCCCC)=O)CCC(OCCSSCCCCCCCCCC)=O,0,100,0,0,0
adhm201400039-1O14,CN(C)CCCN(CCC(OCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCC)=O,0,100,0,0,0
adhm201400039-1O16B,CN(C)CCCN(CCC(OCCSSCCCCCCCCCCCC)=O)CCC(OCCSSCCCCCCCCCCCC)=O,1,100,0,0,0
adhm201400039-1O16,CN(C)CCCN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O,0,100,0,0,0
